task_id,task_type,heuristic_tier,embedding_tier,agree,heuristic_latency_ms,embedding_latency_ms
autocomplete-01,autocomplete,trivial,trivial,True,0.222,361.994
autocomplete-02,autocomplete,trivial,trivial,True,0.103,98.613
autocomplete-03,autocomplete,trivial,medium,False,0.094,93.185
autocomplete-04,autocomplete,low,medium,False,0.131,96.114
autocomplete-05,autocomplete,trivial,high,False,0.09,96.422
autocomplete-06,autocomplete,trivial,medium,False,0.081,95.757
explain-01,explain,low,trivial,False,0.104,94.293
explain-02,explain,low,low,True,0.087,55.439
explain-03,explain,low,low,True,0.086,93.687
explain-04,explain,low,high,False,0.128,93.842
explain-05,explain,medium,high,False,0.094,91.113
explain-06,explain,medium,high,False,0.088,54.817
refactor-01,refactor,medium,trivial,False,0.099,94.061
refactor-02,refactor,medium,low,False,0.192,95.011
refactor-03,refactor,high,low,False,4.016,1717.617
refactor-04,refactor,high,medium,False,0.259,97.862
refactor-05,refactor,medium,medium,True,0.106,55.599
refactor-06,refactor,medium,medium,True,0.292,141.125
generate-01,generate,low,low,True,0.067,51.417
generate-02,generate,low,low,True,0.067,51.942
generate-03,generate,low,medium,False,0.089,92.291
generate-04,generate,low,low,True,0.084,93.237
generate-05,generate,medium,high,False,0.084,95.293
generate-06,generate,medium,high,False,0.103,92.627
debug-01,debug,medium,low,False,0.14,95.659
debug-02,debug,medium,trivial,False,0.12,94.933
debug-03,debug,high,high,True,0.157,94.747
debug-04,debug,medium,high,False,0.135,92.867
debug-05,debug,medium,medium,True,0.111,92.977
debug-06,debug,high,high,True,0.093,92.687
review-01,review,medium,trivial,False,0.105,96.538
review-02,review,high,low,False,2.042,810.328
review-03,review,high,low,False,0.224,96.462
review-04,review,medium,high,False,0.209,141.264
review-05,review,high,medium,False,0.122,93.952
review-06,review,medium,high,False,0.091,95.18
